label,Cluster
_괌,13
_광저우,18
_나고야,19
_나트랑,10
_뉴욕,8
_다낭,10
_대련,3
_도쿄,6
_런던,6
_로마,3
_로스앤젤레스,2
_마닐라,3
_마드리드,3
_마카오,3
_멜버른,11
_모스크바,0
_뮌헨,3
_밀라노,15
_바르샤바,3
_바르셀로나,3
_방콕,10
_밴쿠버,5
_베니스,15
_베이징,17
_브리즈번,11
_블라디보스톡,0
_비엔나,3
_사이판,6
_삿포로,6
_상하이,3
_샌프란시스코,2
_서울,12
_세부,16
_시드니,11
_심양,3
_심천,3
_싱가포르,4
_암스테르담,3
_연길,3
_오사카,19
_오클랜드,3
_오키나와,14
_이스탄불,3
_자그레브,3
_청도,9
_취리히,3
_코타키나발루,1
_쿠알라룸푸르,6
_클라크필드,7
_타이베이,6
_토론토,3
_파리,10
_푸켓,6
_프라하,3
_프랑크프루트,3
_하노이,10
_항주,3
_호놀룰루,3
_호치민,10
_홍콩,6
_후쿠오카,6
